sni_id,year,forbr_bio
annan_serv,2000,
annan_serv,2001,
annan_serv,2002,
annan_serv,2003,
annan_serv,2004,
annan_serv,2005,
annan_serv,2006,
annan_serv,2007,
annan_serv,2008,18
annan_serv,2009,24
annan_serv,2010,28
annan_serv,2011,38
annan_serv,2012,55
annan_serv,2013,81
annan_serv,2014,115
annan_serv,2015,143
annan_serv,2016,201
annan_serv,2017,231
annan_serv,2018,250
annan_serv,2019,232
annan_serv,2020,242
annan_serv,2021,262
annan_serv,2022,332
annan_serv,2023,
andra_tran,2000,
andra_tran,2001,
andra_tran,2002,
andra_tran,2003,
andra_tran,2004,
andra_tran,2005,
andra_tran,2006,
andra_tran,2007,
andra_tran,2008,22
andra_tran,2009,22
andra_tran,2010,18
andra_tran,2011,18
andra_tran,2012,15
andra_tran,2013,28
andra_tran,2014,35
andra_tran,2015,43
andra_tran,2016,43
andra_tran,2017,50
andra_tran,2018,64
andra_tran,2019,64
andra_tran,2020,51
andra_tran,2021,50
andra_tran,2022,58
andra_tran,2023,
arbetsformedling_rese,2000,
arbetsformedling_rese,2001,
arbetsformedling_rese,2002,
arbetsformedling_rese,2003,
arbetsformedling_rese,2004,
arbetsformedling_rese,2005,
arbetsformedling_rese,2006,
arbetsformedling_rese,2007,
arbetsformedling_rese,2008,69
arbetsformedling_rese,2009,175
arbetsformedling_rese,2010,123
arbetsformedling_rese,2011,164
arbetsformedling_rese,2012,221
arbetsformedling_rese,2013,309
arbetsformedling_rese,2014,438
arbetsformedling_rese,2015,611
arbetsformedling_rese,2016,846
arbetsformedling_rese,2017,1014
arbetsformedling_rese,2018,1098
arbetsformedling_rese,2019,1053
arbetsformedling_rese,2020,1007
arbetsformedling_rese,2021,1094
arbetsformedling_rese,2022,1317
arbetsformedling_rese,2023,
arkitekt_tekn,2000,
arkitekt_tekn,2001,
arkitekt_tekn,2002,
arkitekt_tekn,2003,
arkitekt_tekn,2004,
arkitekt_tekn,2005,
arkitekt_tekn,2006,
arkitekt_tekn,2007,
arkitekt_tekn,2008,42
arkitekt_tekn,2009,56
arkitekt_tekn,2010,68
arkitekt_tekn,2011,83
arkitekt_tekn,2012,113
arkitekt_tekn,2013,152
arkitekt_tekn,2014,219
arkitekt_tekn,2015,292
arkitekt_tekn,2016,403
arkitekt_tekn,2017,462
arkitekt_tekn,2018,545
arkitekt_tekn,2019,562
arkitekt_tekn,2020,529
arkitekt_tekn,2021,521
arkitekt_tekn,2022,535
arkitekt_tekn,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,
vattenforsorjning_avlo,2004,
vattenforsorjning_avlo,2005,
vattenforsorjning_avlo,2006,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,125
vattenforsorjning_avlo,2009,74
vattenforsorjning_avlo,2010,112
vattenforsorjning_avlo,2011,95
vattenforsorjning_avlo,2012,189
vattenforsorjning_avlo,2013,303
vattenforsorjning_avlo,2014,313
vattenforsorjning_avlo,2015,520
vattenforsorjning_avlo,2016,503
vattenforsorjning_avlo,2017,527
vattenforsorjning_avlo,2018,571
vattenforsorjning_avlo,2019,537
vattenforsorjning_avlo,2020,500
vattenforsorjning_avlo,2021,556
vattenforsorjning_avlo,2022,683
vattenforsorjning_avlo,2023,
banker,2000,
banker,2001,
banker,2002,
banker,2003,
banker,2004,
banker,2005,
banker,2006,
banker,2007,
banker,2008,13
banker,2009,15
banker,2010,40
banker,2011,48
banker,2012,81
banker,2013,87
banker,2014,122
banker,2015,171
banker,2016,243
banker,2017,275
banker,2018,278
banker,2019,255
banker,2020,220
banker,2021,296
banker,2022,317
banker,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,710
bygg,2009,1107
bygg,2010,1277
bygg,2011,1510
bygg,2012,1692
bygg,2013,2846
bygg,2014,3472
bygg,2015,4578
bygg,2016,6378
bygg,2017,7579
bygg,2018,8534
bygg,2019,8214
bygg,2020,8493
bygg,2021,9574
bygg,2022,11287
bygg,2023,
dataprogrammering_data,2000,
dataprogrammering_data,2001,
dataprogrammering_data,2002,
dataprogrammering_data,2003,
dataprogrammering_data,2004,
dataprogrammering_data,2005,
dataprogrammering_data,2006,
dataprogrammering_data,2007,
dataprogrammering_data,2008,98
dataprogrammering_data,2009,119
dataprogrammering_data,2010,142
dataprogrammering_data,2011,423
dataprogrammering_data,2012,157
dataprogrammering_data,2013,173
dataprogrammering_data,2014,113
dataprogrammering_data,2015,154
dataprogrammering_data,2016,174
dataprogrammering_data,2017,195
dataprogrammering_data,2018,200
dataprogrammering_data,2019,171
dataprogrammering_data,2020,148
dataprogrammering_data,2021,134
dataprogrammering_data,2022,136
dataprogrammering_data,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
