sni_id,year,inv_miljo
andra_till,2000,
andra_till,2001,
andra_till,2002,
andra_till,2003,
andra_till,2004,
andra_till,2005,
andra_till,2006,
andra_till,2007,
andra_till,2008,1
andra_till,2009,2
andra_till,2010,
andra_till,2011,
andra_till,2012,0
andra_till,2013,0
andra_till,2014,
andra_till,2015,16
andra_till,2016,
andra_till,2017,86
andra_till,2018,
andra_till,2019,194
andra_till,2020,46
andra_till,2021,21
andra_till,2022,35
andra_till,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,
el_gas,2009,
el_gas,2010,
el_gas,2011,
el_gas,2012,
el_gas,2013,
el_gas,2014,
el_gas,2015,
el_gas,2016,1180
el_gas,2017,
el_gas,2018,3570
el_gas,2019,2837
el_gas,2020,3681
el_gas,2021,3547
el_gas,2022,2168
el_gas,2023,
vattenforsorjning_e,2000,
vattenforsorjning_e,2001,
vattenforsorjning_e,2002,
vattenforsorjning_e,2003,
vattenforsorjning_e,2004,
vattenforsorjning_e,2005,
vattenforsorjning_e,2006,
vattenforsorjning_e,2007,
vattenforsorjning_e,2008,
vattenforsorjning_e,2009,
vattenforsorjning_e,2010,
vattenforsorjning_e,2011,
vattenforsorjning_e,2012,
vattenforsorjning_e,2013,
vattenforsorjning_e,2014,
vattenforsorjning_e,2015,
vattenforsorjning_e,2016,
vattenforsorjning_e,2017,
vattenforsorjning_e,2018,379
vattenforsorjning_e,2019,243
vattenforsorjning_e,2020,124
vattenforsorjning_e,2021,198
vattenforsorjning_e,2022,1042
vattenforsorjning_e,2023,
el_gas_vat,2000,
el_gas_vat,2001,
el_gas_vat,2002,
el_gas_vat,2003,
el_gas_vat,2004,
el_gas_vat,2005,
el_gas_vat,2006,
el_gas_vat,2007,
el_gas_vat,2008,1158
el_gas_vat,2009,713
el_gas_vat,2010,1517
el_gas_vat,2011,1682
el_gas_vat,2012,2157
el_gas_vat,2013,1721
el_gas_vat,2014,1627
el_gas_vat,2015,1973
el_gas_vat,2016,
el_gas_vat,2017,2519
el_gas_vat,2018,3949
el_gas_vat,2019,3080
el_gas_vat,2020,3805
el_gas_vat,2021,3745
el_gas_vat,2022,3210
el_gas_vat,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,
grafisk,2007,
grafisk,2008,0
grafisk,2009,5
grafisk,2010,22
grafisk,2011,10
grafisk,2012,5
grafisk,2013,
grafisk,2014,8
grafisk,2015,33
grafisk,2016,
grafisk,2017,45
grafisk,2018,3
grafisk,2019,6
grafisk,2020,3
grafisk,2021,6
grafisk,2022,
grafisk,2023,
industri_for_bas,2000,
industri_for_bas,2001,
industri_for_bas,2002,
industri_for_bas,2003,
industri_for_bas,2004,
industri_for_bas,2005,
industri_for_bas,2006,
industri_for_bas,2007,
industri_for_bas,2008,273
industri_for_bas,2009,191
industri_for_bas,2010,302
industri_for_bas,2011,548
industri_for_bas,2012,240
industri_for_bas,2013,275
industri_for_bas,2014,307
industri_for_bas,2015,505
industri_for_bas,2016,310
industri_for_bas,2017,368
industri_for_bas,2018,194
industri_for_bas,2019,372
industri_for_bas,2020,529
industri_for_bas,2021,598
industri_for_bas,2022,795
industri_for_bas,2023,
tillverkning_avd,2000,
tillverkning_avd,2001,
tillverkning_avd,2002,
tillverkning_avd,2003,
tillverkning_avd,2004,
tillverkning_avd,2005,
tillverkning_avd,2006,
tillverkning_avd,2007,
tillverkning_avd,2008,22
tillverkning_avd,2009,68
tillverkning_avd,2010,18
tillverkning_avd,2011,26
tillverkning_avd,2012,
tillverkning_avd,2013,
tillverkning_avd,2014,54
tillverkning_avd,2015,25
tillverkning_avd,2016,
tillverkning_avd,2017,46
tillverkning_avd,2018,20
tillverkning_avd,2019,19
tillverkning_avd,2020,45
tillverkning_avd,2021,72
tillverkning_avd,2022,193
tillverkning_avd,2023,
gummi_icke_met,2000,
gummi_icke_met,2001,
gummi_icke_met,2002,
gummi_icke_met,2003,
gummi_icke_met,2004,
gummi_icke_met,2005,
gummi_icke_met,2006,
gummi_icke_met,2007,
gummi_icke_met,2008,203
gummi_icke_met,2009,326
gummi_icke_met,2010,384
gummi_icke_met,2011,212
gummi_icke_met,2012,211
gummi_icke_met,2013,117
gummi_icke_met,2014,224
gummi_icke_met,2015,185
gummi_icke_met,2016,286
gummi_icke_met,2017,125
gummi_icke_met,2018,358
gummi_icke_met,2019,166
gummi_icke_met,2020,185
gummi_icke_met,2021,520
gummi_icke_met,2022,135
gummi_icke_met,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,
industri_for_tra,2007,
industri_for_tra,2008,145
industri_for_tra,2009,53
industri_for_tra,2010,115
industri_for_tra,2011,73
industri_for_tra,2012,
industri_for_tra,2013,192
industri_for_tra,2014,241
industri_for_tra,2015,277
industri_for_tra,2016,66
industri_for_tra,2017,77
industri_for_tra,2018,93
industri_for_tra,2019,112
industri_for_tra,2020,306
industri_for_tra,2021,535
industri_for_tra,2022,
industri_for_tra,2023,
livsmedel_dryck_tob,2000,
livsmedel_dryck_tob,2001,
livsmedel_dryck_tob,2002,
livsmedel_dryck_tob,2003,
livsmedel_dryck_tob,2004,
livsmedel_dryck_tob,2005,
livsmedel_dryck_tob,2006,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,148
livsmedel_dryck_tob,2009,120
livsmedel_dryck_tob,2010,118
livsmedel_dryck_tob,2011,191
livsmedel_dryck_tob,2012,239
livsmedel_dryck_tob,2013,214
livsmedel_dryck_tob,2014,
livsmedel_dryck_tob,2015,302
livsmedel_dryck_tob,2016,86
livsmedel_dryck_tob,2017,160
livsmedel_dryck_tob,2018,66
livsmedel_dryck_tob,2019,332
livsmedel_dryck_tob,2020,900
livsmedel_dryck_tob,2021,808
livsmedel_dryck_tob,2022,186
livsmedel_dryck_tob,2023,
massa_papp,2000,
massa_papp,2001,
massa_papp,2002,
massa_papp,2003,
massa_papp,2004,
massa_papp,2005,
massa_papp,2006,
massa_papp,2007,
massa_papp,2008,749
massa_papp,2009,627
massa_papp,2010,624
massa_papp,2011,708
massa_papp,2012,879
massa_papp,2013,686
massa_papp,2014,
massa_papp,2015,333
massa_papp,2016,575
massa_papp,2017,704
massa_papp,2018,744
massa_papp,2019,1295
massa_papp,2020,1205
massa_papp,2021,1456
